name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,resident_pop,workers_in_tract,workers_from_tract,daytime_pop
In-N-Out Burger,37.8077668,-122.4184666,,Jefferson Street,333,San Francisco,CA,94133,2001-09-20,,2009-07-06,node,434874627,2118,5280,994,6404
In-N-Out Burger,38.6702663,-121.7279475,,Bronze Star Drive,2011,Woodland,CA,95776,,,2014-05-18,node,2865600212,7168,7618,3516,11270
In-N-Out Burger,38.5980058,-121.419456,,Alta Arden Expressway,2001,Sacramento,CA,95825,,,2015-04-22,node,3471659543,5820,7773,2225,11368
In-N-Out Burger,34.1455816,-118.25526,,South Brand Boulevard,119,Glendale,CA,91204,2003-06-12 T00:00:00,,2018-05-05,node,5597560758,3805,8171,1791,10185
In-N-Out Burger,38.6604251,-121.3571339,,Madison Avenue,4600,Sacramento,CA,95841,,,2019-06-10,node,6536240028,5509,1440,2064,4885
In-N-Out Burger,32.6596905,-117.1066457,,Mile of Cars Way,500,National City,CA,91950,1991-11-18,,2021-02-19,node,8439169217,3600,9930,1159,12371
In-N-Out Burger,33.9156675,-117.4420167,,Van Buren Boulevard,3483,Riverside,CA,92503,,,2021-10-07,node,9156015828,4569,2911,1881,5599
In-N-Out Burger,38.4086698,-121.4128061,,Elk Grove Boulevard,7620,Elk Grove,CA,95757,,,2022-11-20,node,10203025597,5516,313,2334,3495
In-N-Out Burger,33.7363437,-116.4076788,,Bob Hope Drive,42560,Rancho Mirage,CA,92270,,,2023-10-08,node,11247323206,3112,3707,1042,5777
In-N-Out Burger,34.0745597,-117.3708177,,South Riverside Avenue,1456,Rialto,CA,92376,,,2024-03-25,node,11762038014,4539,1312,1985,3866
In-N-Out Burger,33.71257,-116.29265,,Highway 111,78611,La Quinta,CA,92253,,,2024-05-04,node,11879184488,5196,3834,1590,7440
In-N-Out Burger,32.5774169,-117.0805352,,Outer Road,1093,San Diego,CA,92154,,,2024-05-04,node,11879184489,6462,493,2826,4129
In-N-Out Burger,38.414588,-122.7129892,,Santa Rosa Avenue,2532,Santa Rosa,CA,95407,,,2024-08-17,node,12117334306,3142,2796,1424,4514
In-N-Out Burger,34.1060339,-118.1343776,,North Atlantic Boulevard,1210,Alhambra,CA,91801,1997-05-14,,2026-01-07,node,13438655411,5650,784,2532,3902
In-N-Out Burger,34.1453244,-118.0312041,,North Santa Anita Avenue,420,Arcadia,CA,91006,1982-06-08,,2026-01-08,node,13438810216,6734,5045,2531,9248
In-N-Out Burger,34.1495071,-118.1067943,,East Foothill Boulevard,2114,Pasadena,CA,91107,1952-09-18 T00:00:00,,2026-01-22,node,13475411651,2739,2292,1382,3649
In-N-Out Burger,34.0364893,-118.0975591,,Market Place Drive,5500,Monterey Park,CA,91755,,,2026-02-05,node,13527495749,4141,5653,1825,7969
In-N-Out Burger,34.2684187,-119.2728981,,East Harbor Boulevard,2070,Ventura,CA,93001,1992-09-08,,2026-02-17,node,13571497720,4816,1592,1967,4441
In-N-Out Burger,37.1524597,-121.6548009,,Cochrane Road,895,Morgan Hill,CA,95037,,,2008-11-30,way,28714380,4216,6703,2138,8781
In-N-Out Burger,37.9890711,-122.3107655,,Fitzgerald Drive,1417,Pinole,CA,94564,1997-04-24,,2009-01-21,way,30328331,7573,2198,3252,6519
In-N-Out Burger,37.3804081,-122.0740362,,West El Camino Real,53,Mountain View,CA,94040,2001-07-12,,2009-02-08,way,30906534,5196,1623,2316,4503
In-N-Out Burger,37.4209661,-122.0933306,,North Rengstorff Avenue,1159,Mountain View,CA,94043,1998-06-11,,2009-02-15,way,31074131,3101,4566,1817,5850
In-N-Out Burger,32.9176405,-117.1219195,,Mira Mesa Boulevard,9410,San Diego,CA,92126,1991-08-13,,2009-03-06,way,31810568,3065,870,1708,2227
In-N-Out Burger,32.8196444,-117.1486589,,Kearny Mesa Road,4375,San Diego,CA,92111,1991-12-18,,2009-03-06,way,31816516,5074,106997,2666,109405
In-N-Out Burger,32.7519523,-117.2053595,,Sports Arena Boulevard,3102,San Diego,CA,92110,1997-06-27,,2009-03-06,way,31818071,3332,14177,1365,16144
In-N-Out Burger,32.7694899,-117.1434585,,Camino del Este,2005,San Diego,CA,92108,1998-05-21,,2009-03-07,way,31839911,3868,28980,2395,30453
In-N-Out Burger,32.8089416,-117.2188786,,Damon Avenue,2910,San Diego,CA,92109,1991-10-24,,2009-03-07,way,31843177,6096,1761,2357,5500
In-N-Out Burger,34.1849762,-118.3160926,,First Street,761,Burbank,CA,91502,1995-12-14,,2009-03-10,way,31979576,2286,2159,1139,3306
In-N-Out Burger,37.0237981,-121.564204,,Leavesley Road,565,Gilroy,CA,95020,,,2009-04-28,way,33792833,2748,7359,1387,8720
In-N-Out Burger,37.3880598,-121.9820737,,Mission College Boulevard,3001,Santa Clara,CA,95054,2003-08-07,,2009-06-06,way,35549081,4538,25842,2347,28033
In-N-Out Burger,34.2350734,-119.1796642,,West Esplanade Drive,381,Oxnard,CA,93036,2002-05-02,,2009-07-10,way,37548397,5599,5762,2623,8738
In-N-Out Burger,38.6368449,-121.5042251,,Truxel Road,3501,Sacramento,CA,95834,1998-08-13,,2009-09-01,way,39990457,2382,16404,1283,17503
In-N-Out Burger,34.0683563,-117.5571559,,Ontario Mills Parkway,4310,Ontario,CA,91764,2000-07-18,,2009-10-05,way,42018503,6776,18623,2715,22684
In-N-Out Burger,38.7896493,-121.2831678,,Fairway Drive,10309,Roseville,CA,95678,,,2009-12-10,way,45886671,4950,3788,2138,6600
In-N-Out Burger,38.5409423,-121.7371519,,Olive Drive,1020,Davis,CA,95616,1998-01-23,,2009-12-19,way,46689174,5796,1121,1848,5069
In-N-Out Burger,33.8156649,-116.4013864,,Varner Road,72265,Thousand Palms,CA,92276,1988-06-17,,2012-07-18,way,47966182,7149,3698,2591,8256
