name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,median_income
In-N-Out Burger,37.8077668,-122.4184666,,Jefferson Street,333,San Francisco,CA,94133,2001-09-20,,2009-07-06,node,434874627,83816
In-N-Out Burger,38.6702663,-121.7279475,,Bronze Star Drive,2011,Woodland,CA,95776,,,2014-05-18,node,2865600212,116950
In-N-Out Burger,38.5980058,-121.419456,,Alta Arden Expressway,2001,Sacramento,CA,95825,,,2015-04-22,node,3471659543,52958
In-N-Out Burger,34.1455816,-118.25526,,South Brand Boulevard,119,Glendale,CA,91204,2003-06-12 T00:00:00,,2018-05-05,node,5597560758,81111
In-N-Out Burger,38.6604251,-121.3571339,,Madison Avenue,4600,Sacramento,CA,95841,,,2019-06-10,node,6536240028,64159
In-N-Out Burger,32.6596905,-117.1066457,,Mile of Cars Way,500,National City,CA,91950,1991-11-18,,2021-02-19,node,8439169217,50158
In-N-Out Burger,33.9156675,-117.4420167,,Van Buren Boulevard,3483,Riverside,CA,92503,,,2021-10-07,node,9156015828,59688
In-N-Out Burger,38.4086698,-121.4128061,,Elk Grove Boulevard,7620,Elk Grove,CA,95757,,,2022-11-20,node,10203025597,102438
In-N-Out Burger,33.7363437,-116.4076788,,Bob Hope Drive,42560,Rancho Mirage,CA,92270,,,2023-10-08,node,11247323206,80625
In-N-Out Burger,34.0745597,-117.3708177,,South Riverside Avenue,1456,Rialto,CA,92376,,,2024-03-25,node,11762038014,67610
In-N-Out Burger,33.71257,-116.29265,,Highway 111,78611,La Quinta,CA,92253,,,2024-05-04,node,11879184488,66509
In-N-Out Burger,32.5774169,-117.0805352,,Outer Road,1093,San Diego,CA,92154,,,2024-05-04,node,11879184489,64188
In-N-Out Burger,38.414588,-122.7129892,,Santa Rosa Avenue,2532,Santa Rosa,CA,95407,,,2024-08-17,node,12117334306,50417
In-N-Out Burger,34.1060339,-118.1343776,,North Atlantic Boulevard,1210,Alhambra,CA,91801,1997-05-14,,2026-01-07,node,13438655411,86319
In-N-Out Burger,34.1453244,-118.0312041,,North Santa Anita Avenue,420,Arcadia,CA,91006,1982-06-08,,2026-01-08,node,13438810216,109861
In-N-Out Burger,34.1495071,-118.1067943,,East Foothill Boulevard,2114,Pasadena,CA,91107,1952-09-18 T00:00:00,,2026-01-22,node,13475411651,102614
In-N-Out Burger,34.0364893,-118.0975591,,Market Place Drive,5500,Monterey Park,CA,91755,,,2026-02-05,node,13527495749,95556
In-N-Out Burger,34.2684187,-119.2728981,,East Harbor Boulevard,2070,Ventura,CA,93001,1992-09-08,,2026-02-17,node,13571497720,97939
In-N-Out Burger,37.1524597,-121.6548009,,Cochrane Road,895,Morgan Hill,CA,95037,,,2008-11-30,way,28714380,147681
In-N-Out Burger,37.9890711,-122.3107655,,Fitzgerald Drive,1417,Pinole,CA,94564,1997-04-24,,2009-01-21,way,30328331,100399
In-N-Out Burger,37.3804081,-122.0740362,,West El Camino Real,53,Mountain View,CA,94040,2001-07-12,,2009-02-08,way,30906534,245521
In-N-Out Burger,37.4209661,-122.0933306,,North Rengstorff Avenue,1159,Mountain View,CA,94043,1998-06-11,,2009-02-15,way,31074131,160859
In-N-Out Burger,32.9176405,-117.1219195,,Mira Mesa Boulevard,9410,San Diego,CA,92126,1991-08-13,,2009-03-06,way,31810568,137670
In-N-Out Burger,32.8196444,-117.1486589,,Kearny Mesa Road,4375,San Diego,CA,92111,1991-12-18,,2009-03-06,way,31816516,119167
In-N-Out Burger,32.7519523,-117.2053595,,Sports Arena Boulevard,3102,San Diego,CA,92110,1997-06-27,,2009-03-06,way,31818071,69745
In-N-Out Burger,32.7694899,-117.1434585,,Camino del Este,2005,San Diego,CA,92108,1998-05-21,,2009-03-07,way,31839911,104886
In-N-Out Burger,32.8089416,-117.2188786,,Damon Avenue,2910,San Diego,CA,92109,1991-10-24,,2009-03-07,way,31843177,85084
In-N-Out Burger,34.1849762,-118.3160926,,First Street,761,Burbank,CA,91502,1995-12-14,,2009-03-10,way,31979576,20714
In-N-Out Burger,37.0237981,-121.564204,,Leavesley Road,565,Gilroy,CA,95020,,,2009-04-28,way,33792833,136146
In-N-Out Burger,37.3880598,-121.9820737,,Mission College Boulevard,3001,Santa Clara,CA,95054,2003-08-07,,2009-06-06,way,35549081,191326
In-N-Out Burger,34.2350734,-119.1796642,,West Esplanade Drive,381,Oxnard,CA,93036,2002-05-02,,2009-07-10,way,37548397,96797
In-N-Out Burger,38.6368449,-121.5042251,,Truxel Road,3501,Sacramento,CA,95834,1998-08-13,,2009-09-01,way,39990457,107813
In-N-Out Burger,34.0683563,-117.5571559,,Ontario Mills Parkway,4310,Ontario,CA,91764,2000-07-18,,2009-10-05,way,42018503,71224
In-N-Out Burger,38.7896493,-121.2831678,,Fairway Drive,10309,Roseville,CA,95678,,,2009-12-10,way,45886671,130326
In-N-Out Burger,38.5409423,-121.7371519,,Olive Drive,1020,Davis,CA,95616,1998-01-23,,2009-12-19,way,46689174,62757
