label,name,lat,lon,city,state,postcode,street,housenumber,start_date,osm_first_seen,dist_to_nearest_prior_km,nearest_competitor_km,avg_nearest_5_competitors_km,median_income,resident_pop,workers_in_tract,workers_from_tract,daytime_pop,index_right,hwy_aadt,dist_to_highway_meters,dist_to_nearest_dc_miles,dist_to_freeway_ramp_meters,trade_area_population
1,In-N-Out Burger,34.0676607,-117.9735077,Baldwin Park,CA,91706,Francisquito Avenue,13850,1948-10-22,2017-01-31,,0.546,0.719,79875,3282,7003,1118,9167,10947,185000.0,129.30210801485845,1.3358139116991259,102.52908578957987,3189
1,In-N-Out Burger,34.1495071,-118.1067943,Pasadena,CA,91107,East Foothill Boulevard,2114,1952-09-18 T00:00:00,2026-01-22,15.278,0.469,0.593,102614,2739,2292,1382,3649,11550,309000.0,834.1385855292739,9.482170742445746,409.1094806687171,2875
1,In-N-Out Burger,34.1131375,-117.7656435,La Verne,CA,91750,Foothill Boulevard,2098,1952-09-18,2016-12-26,19.798,0.51,2.469,82878,6088,1586,2626,5048,12248,23700.0,458.08467456887024,11.349157951136357,849.1756841760292,5762
1,In-N-Out Burger,34.0897086,-117.94086,West Covina,CA,91722,West San Bernardino Road,15610,1962-07-03,2017-02-01,3.88,1.449,1.627,107411,4943,279,2119,3103,10952,181000.0,2365.8833534718324,1.2172368690763127,2295.49141030275,4807
1,In-N-Out Burger,34.1176297,-117.9073672,Azusa,CA,91702,South Azusa Avenue,324,1966-08-01,2017-02-01,4.376,1.735,1.833,83523,2146,248,1085,1309,11578,236000.0,391.2019759953189,3.8463041519420256,243.07576866630035,2202
1,In-N-Out Burger,34.0376509,-117.9516606,La Puente,CA,91744,Amar Road,15259,1968-05-01,2017-02-01,3.897,1.322,1.612,68796,4080,742,1727,3095,12234,227000.0,4351.7792360691265,3.2444664911337098,4212.0638046058175,3922
1,In-N-Out Burger,34.177449,-118.3819185,North Hollywood,CA,91601,Lankershim Boulevard,5864,1971-05-10,2016-07-08,25.503,0.977,1.271,67131,3597,608,1773,2432,11370,188000.0,1036.3355987209875,24.906910793918097,918.1520525832076,3650
1,In-N-Out Burger,34.0779201,-117.7195859,Pomona,CA,91767,Indian Hill Boulevard,1851,1971-05-10,2017-01-30,5.772,2.085,2.768,65800,5674,354,1894,4134,10981,265000.0,502.6025074371151,13.81199839098447,465.049996076191,5448
1,In-N-Out Burger,34.2219426,-118.4307836,Panorama City,CA,91402,Roscoe Boulevard,13651,1972-03-10,2016-07-18,6.684,1.765,2.107,68491,6155,3754,2583,7326,11379,155000.0,2290.5177861536463,28.48199926129464,2114.118859096827,6170
1,In-N-Out Burger,34.0194144,-117.9872983,Hacienda Heights,CA,91745,East Gale,14620,1972-07-24,2017-01-31,3.86,2.031,2.613,87850,4577,550,1993,3134,12232,242000.0,124.76702461948832,4.706261560811016,65.70526138457356,4467
