name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,dist_to_nearest_prior_km
In-N-Out Burger,34.0676607,-117.9735077,,Francisquito Avenue,13850,Baldwin Park,CA,91706,1948-10-22,,2017-01-31,way,470628829,
In-N-Out Burger,34.1495071,-118.1067943,,East Foothill Boulevard,2114,Pasadena,CA,91107,1952-09-18 T00:00:00,,2026-01-22,node,13475411651,15.278
In-N-Out Burger,34.1131375,-117.7656435,,Foothill Boulevard,2098,La Verne,CA,91750,1952-09-18,,2016-12-26,way,461966334,19.798
In-N-Out Burger,34.0897086,-117.94086,,West San Bernardino Road,15610,West Covina,CA,91722,1962-07-03,,2017-02-01,way,471139077,3.88
In-N-Out Burger,34.1176297,-117.9073672,,South Azusa Avenue,324,Azusa,CA,91702,1966-08-01,,2017-02-01,way,471072562,4.376
In-N-Out Burger,34.0376509,-117.9516606,,Amar Road,15259,La Puente,CA,91744,1968-05-01,,2017-02-01,way,471011152,3.897
In-N-Out Burger,34.177449,-118.3819185,,Lankershim Boulevard,5864,North Hollywood,CA,91601,1971-05-10,,2016-07-08,way,429881201,25.503
In-N-Out Burger,34.0779201,-117.7195859,,Indian Hill Boulevard,1851,Pomona,CA,91767,1971-05-10,,2017-01-30,way,470336050,5.772
In-N-Out Burger,34.2219426,-118.4307836,,Roscoe Boulevard,13651,Panorama City,CA,91402,1972-03-10,,2016-07-18,way,431632724,6.684
In-N-Out Burger,34.0194144,-117.9872983,,East Gale,14620,Hacienda Heights,CA,91745,1972-07-24,,2017-01-31,way,470811969,3.86
In-N-Out Burger,34.2779754,-118.4530792,,Laurel Canyon Boulevard,11455,San Fernando,CA,91340,1973-06-02,,2016-07-14,way,430964752,6.559
In-N-Out Burger,34.0924375,-118.0384294,,Lower Azusa Road,10601,Temple City,CA,91780,1973-08-27,,2017-02-01,way,470953739,6.583
In-N-Out Burger,33.9012228,-118.0823257,,Pioneer Boulevard,14330,Norwalk,CA,90650,1974-02-18,,2016-10-31,way,450373197,15.797
In-N-Out Burger,34.0005018,-117.8434543,,Golden Springs Drive,21133,Diamond Bar,CA,91765,1974-06-30,,2017-02-01,way,471230285,10.794
In-N-Out Burger,34.2410659,-118.2666668,,Foothill Boulevard,6225,Tujunga,CA,91042,1975-04-09,,2015-08-18,way,366225111,12.742
In-N-Out Burger,33.7527837,-117.884761,,Bristol Street,815,Santa Ana,CA,92703,1975-09-28,,2018-06-07,way,594783428,24.606
In-N-Out Burger,34.1719759,-118.5666512,,Ventura Boulevard,19920,Woodland Hills,CA,91364,1976-02-08,,2016-07-16,way,431341736,13.675
In-N-Out Burger,33.76644,-117.9720607,,Trask Avenue,9032,Garden Grove,CA,92844,1978-06-25,,2012-12-07,way,195017608,8.212
In-N-Out Burger,34.0839232,-118.0730362,,North Rosemead Boulevard,4242,Rosemead,CA,91770,1978-12-21 T00:00:00,,2017-02-02,way,471408324,3.325
In-N-Out Burger,34.1282252,-117.8862498,,East Alosta Avenue,988,Azusa,CA,91702,1979,,2012-10-08,way,184708931,2.273
In-N-Out Burger,34.0327131,-117.6678134,,Mountain Avenue,2235,Ontario,CA,91761,1979-10-04,,2014-10-26,way,309678759,6.929
In-N-Out Burger,34.0749964,-117.4352363,,Sierra Avenue,9855,Fontana,CA,92335,1979-12-27,,2019-11-22,way,748851905,21.936
In-N-Out Burger,34.1048969,-117.8730579,,Grand Avenue,1371,Covina,CA,91724,1980,,2012-10-11,way,185319171,2.864
In-N-Out Burger,34.1061842,-117.6096703,,Foothill Boulevard,8955,Rancho Cucamonga,CA,91730,1980-09-15,,2018-06-17,way,598525318,9.769
In-N-Out Burger,33.8248697,-117.9584946,,South Brookhurst Street,600,Anaheim,CA,92804,1980-12-03,,2016-08-16,way,437482562,6.617
In-N-Out Burger,34.1079083,-117.300613,,West 5th Street,795,San Bernardino,CA,92410,1982-02-11,,2017-08-07,way,513693305,12.926
In-N-Out Burger,34.1453244,-118.0312041,,North Santa Anita Avenue,420,Arcadia,CA,91006,1982-06-08,,2026-01-08,node,13438810216,5.918
In-N-Out Burger,33.5452791,-117.6738281,,Camino Capistrano,28782,San Juan Capistrano,CA,92675,1982-08-24,,2016-03-05,way,401869009,30.226
In-N-Out Burger,34.4270992,-117.3781878,,Main Street,13074,Hesperia,CA,92345,1983-06-24,,2011-08-07,way,124953401,36.201
In-N-Out Burger,33.8311352,-118.2884114,,West Carson Street,730,Torrance,CA,90502,1983-12-23,,2016-04-08,way,408796738,20.562
In-N-Out Burger,34.0664654,-117.2618594,,E. Harriman Place,1065,San Bernardino,CA,92408,1984-02-28,,2017-08-15,way,515906891,5.829
In-N-Out Burger,33.8743097,-117.878423,,West Chapman Avenue,825,Placentia,CA,92870,1984-05-25,,2012-11-17,way,191166151,9.214
In-N-Out Burger,34.025802,-117.7494664,,South Garey Avenue,2505,Pomona,CA,91766,1984-08-16,,2017-01-30,way,470330746,6.416
In-N-Out Burger,34.0692616,-117.6114649,,G Street,1891,Ontario,CA,91764,1984-10-19,,2019-11-25,way,749592169,4.109
In-N-Out Burger,34.2500159,-118.5019562,,Balboa Boulevard,9858,Northridge,CA,91325,1984-12-26,,2016-07-13,way,430680955,5.463
In-N-Out Burger,33.924392,-117.92374,,East Lambert Road,2030,La Habra,CA,90631,1985-05-14,,2011-08-09,way,125249304,6.965
In-N-Out Burger,33.7586954,-118.0195892,,Westminster Boulevard,6292,Westminster,CA,92683,1985-06-29,,2013-07-18,way,230356160,4.477
In-N-Out Burger,33.6436988,-117.922972,,West 19th Street,594,Costa Mesa,CA,92627,1985-09-23,,2010-07-11,way,67256641,12.634
In-N-Out Burger,33.9670674,-117.4659058,,Clay Street,6634,Riverside,CA,92509,1985-11-29,,2018-11-24,way,648339865,12.33
In-N-Out Burger,33.8610094,-118.1246668,,Bellflower Boulevard,5820,Lakewwod,CA,90712,1985-12-28,,2014-09-10,way,302694951,5.939
In-N-Out Burger,34.2172694,-119.0530116,,Ventura Boulevard,1316,Camarillo,CA,93010,1986-08-27,,2017-04-16,way,487079580,45.015
In-N-Out Burger,33.8472944,-118.028126,,Valley View Street,7926,Buena Park,CA,90620,1986-09-25,,2016-12-24,way,461502757,6.898
In-N-Out Burger,34.7044857,-118.1670082,,West Avenue I,2021,Lancaster,CA,93536,1986-11-26,,2017-02-07,way,472961345,52.333
In-N-Out Burger,33.9421083,-117.2601353,,Hemlock Avenue,23035,Moreno Valley,CA,92557,1987-01-07,,2019-11-25,way,749621742,13.829
In-N-Out Burger,34.1072482,-117.6862484,,West Foothill Boulevard,1837,Upland,CA,91786,1987-04-06,,2017-01-21,way,467629115,4.479
In-N-Out Burger,33.9357751,-117.4039685,,Indiana Avenue,7467,Riverside,CA,92504,1987-06-30,,2013-08-13,way,233400557,6.689
In-N-Out Burger,33.9396311,-118.0468462,,Carmenita,10525,Santa Fe Springs,CA,90670,1987-10-21,,2016-11-25,way,455831224,5.381
In-N-Out Burger,34.0005364,-118.0830682,,Whittier Boulevard,9070,Pico Rivera,CA,90660,1988-05-13,,2016-11-03,way,451218105,7.551
In-N-Out Burger,33.8156649,-116.4013864,,Varner Road,72265,Thousand Palms,CA,92276,1988-06-17,,2012-07-18,way,47966182,80.513
In-N-Out Burger,33.7142574,-116.2331067,,Highway 111,82043,Indio,CA,92201,1988-06-17,,2019-11-26,way,749930500,19.213
In-N-Out Burger,33.7469537,-117.001705,,West Florida Avenue,2885,Hemet,CA,92545,1988-09-09,,2018-10-23,way,637318224,32.257
In-N-Out Burger,34.3771286,-118.5654074,,The Old Road,2522,Newhall,CA,91381,1989-05-18,,2017-02-06,way,472566670,15.098
In-N-Out Burger,33.6635627,-117.2985219,,Railroad Canyon Road,331,Lake Elsinore,CA,92532,1989-05-18,,2019-01-26,way,666245955,28.98
In-N-Out Burger,34.0264562,-118.3942837,,Venice Boulevard,9245,Los Angeles,CA,90034,1989-09-06,,2016-01-13,way,391238447,16.828
In-N-Out Burger,34.849969,-117.08241,,Lenwood Road,2821,Barstow,CA,92311,1989-11-14,,2012-08-10,way,175482039,54.251
