source_ino_city,source_ino_lat,source_ino_lon,source_ino_date,name,lat,lon,city,street,housenumber,postcode,competitor_created,distance_km
Lebec,34.9833769,-118.9482857,2007-08-30,Bhavika's Chatpat,37.3529944,-122.0045772,,,,,2008-05-24,380.344
Lebec,34.9833769,-118.9482857,2007-08-30,Subway,37.3618682,-122.024376,Sunnyvale,East El Camino Real,605,94087,2008-05-24,382.298
Lebec,34.9833769,-118.9482857,2007-08-30,Bawarchi,37.3611013,-122.026013,,,,,2008-05-24,382.346
Lebec,34.9833769,-118.9482857,2007-08-30,Sweetgreen,37.3683134,-122.0354375,Sunnyvale,West El Camino Real,300,94087,2008-05-24,383.502
Lebec,34.9833769,-118.9482857,2007-08-30,Chipotle,37.3678173,-122.0361235,Sunnyvale,West El Camino Real,324,94087,2008-05-24,383.509
El Centro,32.771475,-115.5526905,2007-12-13,Carl's Jr. / The Green Burrito,32.8538449,-117.2004664,San Diego,Governor Drive,4199,92122,2008-06-28,154.261
El Centro,32.771475,-115.5526905,2007-12-13,Los Primos Mexican Food,32.8626604,-117.2243029,,Regents Road,7770,,2008-07-05,156.537
El Centro,32.771475,-115.5526905,2007-12-13,Chipotle,32.8657727,-117.2322186,La Jolla,Villa La Jolla Drive,8657,92037,2008-06-27,157.295
El Centro,32.771475,-115.5526905,2007-12-13,Bhavika's Chatpat,37.3529944,-122.0045772,,,,,2008-05-24,777.039
El Centro,32.771475,-115.5526905,2007-12-13,World Wraps,37.3891928,-121.9837063,,,3147,,2008-06-13,778.155
Murrieta,33.5732519,-117.1789859,2007-12-20,Chipotle,32.8657727,-117.2322186,La Jolla,Villa La Jolla Drive,8657,92037,2008-06-27,78.824
Murrieta,33.5732519,-117.1789859,2007-12-20,Los Primos Mexican Food,32.8626604,-117.2243029,,Regents Road,7770,,2008-07-05,79.127
Murrieta,33.5732519,-117.1789859,2007-12-20,Carl's Jr. / The Green Burrito,32.8538449,-117.2004664,San Diego,Governor Drive,4199,92122,2008-06-28,80.019
Murrieta,33.5732519,-117.1789859,2007-12-20,Bhavika's Chatpat,37.3529944,-122.0045772,,,,,2008-05-24,606.163
Murrieta,33.5732519,-117.1789859,2007-12-20,World Wraps,37.3891928,-121.9837063,,,3147,,2008-06-13,607.534
Yuba City,39.13596,-121.6351815,2008-03-27,Mexicana Taqueria,37.8798656,-122.268921,,,,,2008-11-24,150.162
Yuba City,39.13596,-121.6351815,2008-03-27,Banh Mi Bite,37.8758027,-122.2604332,Berkeley,Euclid Avenue,1814,94709,2008-12-15,150.314
Yuba City,39.13596,-121.6351815,2008-03-27,La Burrita,37.8755667,-122.2606291,Berkeley,Euclid Avenue,1832,94709,2008-12-15,150.344
Yuba City,39.13596,-121.6351815,2008-03-27,Brown's,37.8733273,-122.2648839,Berkeley,Hearst Avenue,2255,94709,2008-08-08,150.711
Yuba City,39.13596,-121.6351815,2008-03-27,Sweetgreen,37.8739991,-122.2688574,Berkeley,Shattuck Avenue,1890,,2008-11-24,150.767
Menifee,33.6811287,-117.1751095,2008-10-28,Burger King,33.3752217,-117.2517162,Fallbrook,South Main Avenue,825,92028,2009-03-24,34.749
Menifee,33.6811287,-117.1751095,2008-10-28,Domino's,33.3735286,-117.254404,Fallbrook,South Mission Road,1075,92028,2009-03-24,34.984
Menifee,33.6811287,-117.1751095,2008-10-28,McDonald's,33.3728073,-117.2512021,,,,,2009-03-24,35.002
Menifee,33.6811287,-117.1751095,2008-10-28,Jack in the Box,33.366548,-117.250344,Fallbrook,South Mission Road,1465,92028,2009-03-24,35.668
Menifee,33.6811287,-117.1751095,2008-10-28,Jack in the Box,33.2960098,-117.221019,Bonsall,South Mission Road,5256,92003,2009-03-24,43.034
Morgan Hill,37.1524597,-121.6548009,2008-11-30,Five Guys,37.1513378,-121.6562099,Morgan Hill,Cochrane Road,775,95037,2009-03-07,0.177
Morgan Hill,37.1524597,-121.6548009,2008-11-30,Chipotle,37.1512012,-121.6561329,Morgan Hill,Cochrane Road,775,95037,2009-03-07,0.183
Morgan Hill,37.1524597,-121.6548009,2008-11-30,McDonald's,37.1506188,-121.6552807,Morgan Hill,Cochrane Plaza,135,95037-2812,2008-11-30,0.209
Morgan Hill,37.1524597,-121.6548009,2008-11-30,KFC,37.1308582,-121.6364493,Morgan Hill,Laurel Road,17050,95037,2009-01-05,2.901
Morgan Hill,37.1524597,-121.6548009,2008-11-30,Subway,37.1334736,-121.6305375,Morgan Hill,Condit Road,17020,95037,2009-03-07,3.014
West Sacramento,38.5915571,-121.5502019,2008-12-05,Del Taco,38.6358292,-121.5029343,Sacramento,Truxel Road,3531,95834,2009-09-01,6.411
West Sacramento,38.5915571,-121.5502019,2008-12-05,Taco Bell,38.5509497,-121.6939305,Davis,Chiles Road,4811,95618,2009-05-12,13.286
West Sacramento,38.5915571,-121.5502019,2008-12-05,McDonald's,38.5505256,-121.6974152,Davis,Chiles Road,4444,95616,2009-05-12,13.587
West Sacramento,38.5915571,-121.5502019,2008-12-05,Carl's Jr.,38.5620784,-121.7315656,,,,,2009-06-25,16.103
West Sacramento,38.5915571,-121.5502019,2008-12-05,Carl's Jr.,38.540323,-121.730986,Davis,Cowell Boulevard,1701,95618,2009-03-23,16.718
Chula Vista,32.6204984,-116.96199,2008-12-23,Rubio's,32.628531,-116.965132,,,,,2009-03-24,0.94
Chula Vista,32.6204984,-116.96199,2008-12-23,Pick Up Stix,32.6286323,-116.965878,,,,,2009-03-24,0.975
Chula Vista,32.6204984,-116.96199,2008-12-23,Arby's,32.646477,-116.965656,,,,,2009-03-24,2.909
Chula Vista,32.6204984,-116.96199,2008-12-23,Domino's,32.6422783,-116.9929856,Chula Vista,Otay Lakes Road,943,91913,2009-03-24,3.78
Chula Vista,32.6204984,-116.96199,2008-12-23,Taco Bell,32.6448342,-116.9973851,Chula Vista,East H Street,1548,91913,2009-03-24,4.279
Folsom,38.6467295,-121.1143975,2009-01-29,Del Taco,38.6358292,-121.5029343,Sacramento,Truxel Road,3531,95834,2009-09-01,33.767
Folsom,38.6467295,-121.1143975,2009-01-29,Taco Bell,38.5509497,-121.6939305,Davis,Chiles Road,4811,95618,2009-05-12,51.477
Folsom,38.6467295,-121.1143975,2009-01-29,McDonald's,38.5505256,-121.6974152,Davis,Chiles Road,4444,95616,2009-05-12,51.783
Folsom,38.6467295,-121.1143975,2009-01-29,Subway,38.2268068,-121.4285719,Thornton,West Walnut Grove Road,9015,95686,2009-07-20,54.121
Folsom,38.6467295,-121.1143975,2009-01-29,Carl's Jr.,38.5620784,-121.7315656,,,,,2009-06-25,54.449
Gilroy,37.0237981,-121.564204,2009-04-28,McDonald's,37.0236362,-121.5624438,Gilroy,Arroyo Circle,8390,95020,2009-10-07,0.157
Gilroy,37.0237981,-121.564204,2009-04-28,Wendy's,36.9297252,-121.767228,Watsonville,Freedom Boulevard,1480,95076,2009-08-26,20.849
Gilroy,37.0237981,-121.564204,2009-04-28,Burger King,36.9267895,-121.7653324,Watsonville,Freedom Boulevard,1403,95076-2742,2009-11-08,20.871
