site_type,lat,lon,city,predicted_score,dist_to_nearest_prior_km,nearest_competitor_km,avg_nearest_5_competitors_km,median_income,resident_pop,workers_in_tract,workers_from_tract,daytime_pop,hwy_aadt,dist_to_highway_meters,dist_to_nearest_dc_miles,dist_to_freeway_ramp_meters,trade_area_population
Real In-N-Out,34.0676607,-117.9735077,Baldwin Park,0.4725,,0.546,0.719,79875,3282,7003,1118,9167,185000.0,129.30210801485845,1.335813911699126,102.52908578957988,3189
Real In-N-Out,34.1495071,-118.1067943,Pasadena,0.5206,15.278,0.469,0.593,102614,2739,2292,1382,3649,309000.0,834.1385855292739,9.482170742445746,409.1094806687171,2875
Real In-N-Out,34.1131375,-117.7656435,La Verne,0.5048,19.798,0.51,2.469,82878,6088,1586,2626,5048,23700.0,458.08467456887024,11.349157951136355,849.1756841760292,5762
Real In-N-Out,34.0897086,-117.94086,West Covina,0.5116,3.88,1.449,1.627,107411,4943,279,2119,3103,181000.0,2365.8833534718324,1.217236869076313,2295.49141030275,4807
Real In-N-Out,34.1176297,-117.9073672,Azusa,0.5032,4.376,1.735,1.833,83523,2146,248,1085,1309,236000.0,391.2019759953189,3.8463041519420256,243.07576866630035,2202
Real In-N-Out,34.0376509,-117.9516606,La Puente,0.5012,3.897,1.322,1.612,68796,4080,742,1727,3095,227000.0,4351.7792360691265,3.2444664911337098,4212.0638046058175,3922
Real In-N-Out,34.177449,-118.3819185,North Hollywood,0.4898,25.503,0.977,1.271,67131,3597,608,1773,2432,188000.0,1036.3355987209875,24.906910793918097,918.1520525832076,3650
Real In-N-Out,34.0779201,-117.7195859,Pomona,0.542,5.772,2.085,2.768,65800,5674,354,1894,4134,265000.0,502.6025074371151,13.81199839098447,465.049996076191,5448
Real In-N-Out,34.2219426,-118.4307836,Panorama City,0.5116,6.684,1.765,2.107,68491,6155,3754,2583,7326,155000.0,2290.5177861536463,28.48199926129464,2114.118859096827,6170
Real In-N-Out,34.0194144,-117.9872983,Hacienda Heights,0.5142,3.86,2.031,2.613,87850,4577,550,1993,3134,242000.0,124.76702461948832,4.706261560811016,65.70526138457356,4467
Real In-N-Out,34.2779754,-118.4530792,San Fernando,0.5368,6.559,0.587,1.324,62500,4238,912,1732,3418,178000.0,169.0572998561504,31.13477433922185,71.41804143046967,3699
