name,lat,lon,city,street,housenumber,postcode,created
Stern Dining,37.4243217,-122.165628,Stanford,Escondido Road,618,94305,2008-07-29
Brown's,37.8733273,-122.2648839,Berkeley,Hearst Avenue,2255,94709,2008-08-08
The Axe & Palm,37.4250488,-122.170496,,,,,2008-07-29
Bawarchi,37.3611013,-122.026013,,,,,2008-05-24
Sweetgreen,37.3683134,-122.0354375,Sunnyvale,West El Camino Real,300,94087,2008-05-24
Los Primos Mexican Food,32.8626604,-117.2243029,,Regents Road,7770,,2008-07-05
Yoshinoya,34.0762169,-118.216019,,,,,2012-04-27
Carl's Jr. / The Green Burrito,32.8538449,-117.2004664,San Diego,Governor Drive,4199,92122,2008-06-28
Union Square,37.4244824,-122.170871,,,,,2008-07-29
Chipotle,37.596635,-122.3863052,Millbrae,South El Camino Real,135,94030,2008-07-06
Jamba,37.4242642,-122.1707343,Stanford,Lagunita Drive,459,94305,2008-07-29
Jack in the Box,34.0772159,-118.151582,Alhambra,West Valley Boulevard,2531,91803,2012-04-27
Bhavika's Chatpat,37.3529944,-122.0045772,,,,,2008-05-24
Gunbarrel Grill,38.9294487,-119.9308237,,,,,2007-12-14
Subway,37.5854596,-122.3654518,Burlingame,Broadway,1308,94010,2008-07-27
Chipotle,37.3678173,-122.0361235,Sunnyvale,West El Camino Real,324,94087,2008-05-24
World Wraps,37.3891928,-121.9837063,,,3147,,2008-06-13
Jack in the Box,34.0766932,-118.216012,Los Angeles,Pasadena Avenue,2521,90031,2012-04-27
Chipotle,32.8657727,-117.2322186,La Jolla,Villa La Jolla Drive,8657,92037,2008-06-27
Subway,37.3618682,-122.024376,Sunnyvale,East El Camino Real,605,94087,2008-05-24
Wingstop,37.5800244,-122.3329394,San Mateo,North Delaware Street,858,94401,2008-09-24
McDonald's,37.0082012,-121.5514239,Gilroy,Camino Arroyo,7150,95020,2008-12-03
La Burrita,37.8755667,-122.2606291,Berkeley,Euclid Avenue,1832,94709,2008-12-15
